GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rtree,com.github.davidmoten.rtree.geometry.internal,PointDouble,64,146,6,16,15,27,11,21,6,15
rtree,com.github.davidmoten.rtree.geometry.internal,LineFloat,3,349,5,17,1,48,5,22,0,16
rtree,com.github.davidmoten.rtree.geometry.internal,CircleDouble,54,137,9,5,6,19,11,11,4,11
rtree,com.github.davidmoten.rtree.geometry.internal,LineDouble,186,166,17,5,27,22,15,12,4,12
rtree,com.github.davidmoten.rtree.geometry.internal,CircleFloat,4,199,0,14,1,24,1,21,1,14
rtree,com.github.davidmoten.rtree.geometry.internal,RectangleFloat,26,360,1,27,2,41,1,32,0,19
rtree,com.github.davidmoten.rtree.geometry.internal,PointFloat,67,239,6,22,11,43,9,28,3,20
rtree,com.github.davidmoten.rtree.geometry.internal,RectangleDouble,29,321,15,15,2,42,12,25,1,21
rtree,com.github.davidmoten.rtree.geometry.internal,GeometryUtil,0,283,0,54,0,46,0,37,0,10
rtree,com.github.davidmoten.rtree.geometry.internal,Vector,0,65,0,0,0,10,0,7,0,7
rtree,com.github.davidmoten.rtree.fbs,NonLeafFlatBuffers,29,247,5,19,6,51,5,19,0,12
rtree,com.github.davidmoten.rtree.fbs,SerializerFlatBuffers,0,369,0,26,0,82,0,21,0,8
rtree,com.github.davidmoten.rtree.fbs,LeafFlatBuffers,0,103,0,2,0,24,0,12,0,11
rtree,com.github.davidmoten.rtree.fbs,FactoryFlatBuffers,4,37,0,0,1,10,1,5,1,5
rtree,com.github.davidmoten.rtree.fbs,FlatBuffersHelper,31,551,6,54,6,121,6,35,0,11
rtree,com.github.davidmoten.rtree.fbs.generated,Node_,38,201,4,10,8,19,8,21,4,18
rtree,com.github.davidmoten.rtree.fbs.generated,GeometryType_,40,0,0,0,2,0,2,0,2,0
rtree,com.github.davidmoten.rtree.fbs.generated,PointDouble_,0,40,0,0,0,8,0,5,0,5
rtree,com.github.davidmoten.rtree.fbs.generated,Context_,63,68,4,2,9,10,8,9,5,9
rtree,com.github.davidmoten.rtree.fbs.generated,CircleFloat_,0,51,0,0,0,10,0,6,0,6
rtree,com.github.davidmoten.rtree.fbs.generated,Geometry_,29,266,8,10,2,31,10,31,2,30
rtree,com.github.davidmoten.rtree.fbs.generated,Entry_,69,86,5,3,7,13,10,10,7,9
rtree,com.github.davidmoten.rtree.fbs.generated,BoundsType_,16,0,0,0,2,0,2,0,2,0
rtree,com.github.davidmoten.rtree.fbs.generated,LineDouble_,43,19,0,0,6,6,6,1,6,1
rtree,com.github.davidmoten.rtree.fbs.generated,PointFloat_,0,40,0,0,0,8,0,5,0,5
rtree,com.github.davidmoten.rtree.fbs.generated,Tree_,17,131,2,4,5,16,3,16,1,15
rtree,com.github.davidmoten.rtree.fbs.generated,Bounds_,23,98,2,4,2,13,4,13,2,12
rtree,com.github.davidmoten.rtree.fbs.generated,LineFloat_,43,19,0,0,6,6,6,1,6,1
rtree,com.github.davidmoten.rtree.fbs.generated,CircleDouble_,0,51,0,0,0,10,0,6,0,6
rtree,com.github.davidmoten.rtree.fbs.generated,BoxFloat_,0,62,0,0,0,12,0,7,0,7
rtree,com.github.davidmoten.rtree.fbs.generated,BoxDouble_,0,62,0,0,0,12,0,7,0,7
